iter	Passed	Remaining
0	2	198
1	4	200
2	5	187
3	7	173
4	8	165
5	10	158
6	11	153
7	13	149
8	14	146
9	15	143
10	17	141
11	18	138
12	20	136
13	21	133
14	23	132
15	24	130
16	26	128
17	27	126
18	29	126
19	31	125
20	32	122
21	34	121
22	35	119
23	37	117
24	38	115
25	40	114
26	41	112
27	42	110
28	44	108
29	45	106
30	47	105
31	48	103
32	50	102
33	51	100
34	53	99
35	54	97
36	56	95
37	57	94
38	59	92
39	61	91
40	62	90
41	63	87
42	65	86
43	66	85
44	68	83
45	70	82
46	71	80
47	73	79
48	74	77
49	76	76
50	77	74
51	79	73
52	81	71
53	82	70
54	83	68
55	84	66
56	86	64
57	87	63
58	88	61
59	90	60
60	91	58
61	93	57
62	95	55
63	96	54
64	98	52
65	100	51
66	101	50
67	103	48
68	105	47
69	106	45
70	108	44
71	110	42
72	111	41
73	113	39
74	115	38
75	117	37
76	119	35
77	121	34
78	124	33
79	126	31
80	127	29
81	129	28
82	132	27
83	133	25
84	135	23
85	138	22
86	140	21
87	142	19
88	144	17
89	146	16
90	148	14
91	153	13
92	155	11
93	157	10
94	158	8
95	160	6
96	161	5
97	163	3
98	164	1
99	166	0
