iter	Passed	Remaining
0	182	182552
1	188	94222
2	191	63757
3	199	49565
4	202	40223
5	205	34075
6	207	29453
7	214	26582
8	218	24108
9	222	22014
10	231	20794
11	237	19580
12	239	18204
13	256	18069
14	262	17207
15	267	16468
16	270	15619
17	276	15080
18	278	14382
19	283	13902
20	295	13766
21	300	13356
22	311	13240
23	318	12960
24	326	12727
25	330	12362
26	336	12121
27	341	11869
28	344	11520
29	352	11390
30	358	11195
31	369	11163
32	371	10899
33	375	10655
34	384	10589
35	393	10546
36	396	10325
37	399	10101
38	412	10156
39	447	10750
40	461	10793
41	470	10729
42	476	10608
43	478	10398
44	491	10438
45	494	10252
46	510	10360
47	521	10342
48	525	10193
49	532	10113
50	541	10071
51	544	9934
52	550	9831
53	552	9672
54	557	9581
55	565	9536
56	567	9391
57	569	9253
58	584	9320
59	586	9188
60	597	9192
61	599	9068
62	613	9128
63	617	9027
64	624	8985
65	630	8929
66	633	8827
67	638	8746
68	640	8642
69	643	8551
70	646	8454
71	648	8358
72	654	8305
73	664	8317
74	669	8255
75	679	8260
76	685	8216
77	689	8145
78	691	8057
79	692	7968
80	694	7883
81	696	7798
82	700	7735
83	703	7669
84	705	7598
85	707	7522
86	709	7447
87	713	7397
88	717	7347
89	721	7292
90	723	7225
91	725	7163
92	732	7139
93	737	7109
94	740	7052
95	748	7049
96	752	7005
97	756	6963
98	758	6901
99	764	6881
100	767	6828
101	771	6794
102	783	6820
103	786	6778
104	788	6723
105	799	6740
106	808	6747
107	814	6728
108	818	6693
109	830	6716
110	836	6699
111	849	6734
112	852	6693
113	870	6764
114	885	6817
115	892	6803
116	896	6767
117	899	6723
118	904	6697
119	908	6659
120	913	6634
121	915	6586
122	921	6568
123	923	6520
124	926	6486
125	928	6441
126	930	6395
127	932	6353
128	940	6352
129	944	6323
130	950	6308
131	956	6289
132	958	6251
133	979	6329
134	1012	6489
135	1044	6637
136	1057	6658
137	1059	6615
138	1061	6576
139	1068	6563
140	1072	6531
141	1079	6522
142	1081	6483
143	1084	6449
144	1090	6432
145	1098	6423
146	1113	6459
147	1114	6418
148	1140	6511
149	1143	6480
150	1146	6446
151	1149	6410
152	1154	6390
153	1158	6363
154	1160	6325
155	1162	6290
156	1164	6255
157	1170	6235
158	1175	6219
159	1179	6191
160	1180	6153
161	1189	6154
162	1192	6123
163	1194	6091
164	1199	6070
165	1202	6040
166	1205	6010
167	1207	5977
168	1208	5944
169	1210	5912
170	1217	5900
171	1219	5871
172	1222	5845
173	1225	5818
174	1227	5787
175	1235	5783
176	1237	5753
177	1239	5723
178	1241	5695
179	1247	5683
180	1249	5655
181	1262	5672
182	1265	5649
183	1295	5743
184	1297	5718
185	1301	5696
186	1307	5686
187	1316	5685
188	1326	5692
189	1335	5691
190	1343	5692
191	1346	5664
192	1348	5637
193	1350	5611
194	1361	5618
195	1367	5610
196	1411	5752
197	1416	5739
198	1450	5836
199	1460	5842
200	1475	5865
201	1479	5844
202	1490	5849
203	1493	5826
204	1495	5800
205	1502	5792
206	1505	5768
207	1510	5753
208	1523	5765
209	1535	5775
210	1554	5811
211	1560	5800
212	1562	5772
213	1566	5752
214	1568	5728
215	1571	5702
216	1577	5691
217	1583	5679
218	1585	5652
219	1587	5628
220	1600	5642
221	1602	5616
222	1606	5599
223	1609	5575
224	1612	5553
225	1616	5535
226	1618	5511
227	1625	5504
228	1628	5484
229	1631	5462
230	1638	5455
231	1644	5444
232	1647	5423
233	1650	5401
234	1655	5388
235	1667	5398
236	1670	5377
237	1673	5357
238	1675	5333
239	1677	5313
240	1685	5309
241	1687	5286
242	1690	5265
243	1692	5244
244	1703	5248
245	1705	5227
246	1707	5206
247	1713	5195
248	1718	5182
249	1722	5166
250	1729	5161
251	1732	5142
252	1734	5121
253	1736	5100
254	1738	5078
255	1740	5058
256	1745	5046
257	1749	5030
258	1752	5012
259	1754	4992
260	1756	4973
261	1759	4954
262	1760	4934
263	1763	4915
264	1765	4895
265	1767	4877
266	1774	4870
267	1776	4850
268	1783	4846
269	1787	4831
270	1792	4821
271	1795	4804
272	1797	4787
273	1801	4774
274	1804	4756
275	1807	4740
276	1813	4733
277	1829	4752
278	1835	4742
279	1837	4724
280	1844	4720
281	1854	4721
282	1856	4703
283	1863	4696
284	1865	4679
285	1872	4674
286	1874	4656
287	1885	4660
288	1887	4642
289	1889	4625
290	1890	4607
291	1894	4594
292	1899	4582
293	1901	4565
294	1903	4549
295	1906	4533
296	1909	4520
297	1911	4504
298	1914	4488
299	1916	4471
300	1918	4455
301	1920	4438
302	1922	4423
303	1926	4411
304	1928	4394
305	1930	4379
306	1944	4388
307	1950	4382
308	1964	4392
309	1966	4376
310	1967	4359
311	1969	4343
312	1971	4327
313	1976	4318
314	1980	4307
315	1982	4291
316	1984	4276
317	1986	4260
318	1988	4244
319	1992	4233
320	1994	4219
321	2000	4211
322	2007	4207
323	2009	4192
324	2011	4177
325	2015	4166
326	2018	4154
327	2025	4149
328	2041	4162
329	2043	4148
330	2066	4176
331	2068	4161
332	2074	4154
333	2085	4158
334	2087	4143
335	2089	4128
336	2091	4113
337	2095	4103
338	2098	4091
339	2100	4078
340	2103	4065
341	2105	4050
342	2107	4037
343	2110	4023
344	2113	4012
345	2115	3997
346	2116	3983
347	2119	3971
348	2124	3962
349	2126	3949
350	2128	3936
351	2131	3923
352	2133	3910
353	2136	3898
354	2140	3888
355	2144	3879
356	2146	3866
357	2149	3853
358	2151	3841
359	2155	3832
360	2158	3820
361	2160	3808
362	2162	3795
363	2165	3783
364	2167	3771
365	2172	3762
366	2174	3750
367	2176	3738
368	2178	3725
369	2181	3713
370	2187	3708
371	2189	3696
372	2192	3684
373	2194	3673
374	2196	3661
375	2201	3653
376	2203	3641
377	2206	3630
378	2208	3618
379	2210	3607
380	2213	3595
381	2217	3586
382	2219	3575
383	2221	3564
384	2223	3552
385	2226	3541
386	2227	3529
387	2233	3522
388	2235	3511
389	2237	3499
390	2239	3487
391	2242	3477
392	2247	3471
393	2249	3459
394	2253	3450
395	2254	3439
396	2256	3428
397	2258	3416
398	2263	3409
399	2265	3397
400	2267	3386
401	2269	3376
402	2271	3365
403	2278	3362
404	2283	3355
405	2286	3344
406	2288	3334
407	2290	3324
408	2299	3322
409	2301	3311
410	2303	3301
411	2305	3291
412	2311	3285
413	2316	3279
414	2318	3268
415	2320	3258
416	2324	3250
417	2327	3240
418	2329	3230
419	2331	3220
420	2333	3209
421	2335	3199
422	2341	3194
423	2350	3192
424	2352	3182
425	2356	3175
426	2358	3164
427	2360	3154
428	2362	3144
429	2364	3134
430	2367	3125
431	2370	3117
432	2372	3106
433	2375	3097
434	2377	3088
435	2380	3078
436	2382	3068
437	2385	3060
438	2387	3050
439	2389	3041
440	2391	3031
441	2393	3022
442	2397	3014
443	2403	3010
444	2406	3001
445	2408	2991
446	2410	2982
447	2412	2972
448	2420	2970
449	2423	2961
450	2425	2952
451	2427	2943
452	2435	2940
453	2437	2931
454	2439	2921
455	2440	2911
456	2442	2902
457	2445	2893
458	2448	2885
459	2450	2876
460	2452	2867
461	2454	2858
462	2456	2849
463	2458	2840
464	2464	2834
465	2465	2825
466	2486	2837
467	2489	2829
468	2492	2821
469	2497	2816
470	2499	2807
471	2504	2801
472	2506	2792
473	2508	2783
474	2512	2776
475	2514	2767
476	2516	2759
477	2518	2750
478	2520	2741
479	2523	2733
480	2527	2727
481	2529	2718
482	2531	2709
483	2534	2702
484	2537	2694
485	2544	2691
486	2555	2692
487	2560	2686
488	2562	2677
489	2566	2671
490	2570	2664
491	2575	2659
492	2580	2653
493	2595	2658
494	2597	2650
495	2599	2641
496	2602	2633
497	2604	2625
498	2608	2619
499	2612	2612
500	2615	2604
